customer_id,age,income,loan_amount,credit_score,employment_type,risk_rating
1001,58,25451154.0,27907093,712.0,Part-Time,0
1002,48,11009292.0,44660093,490.0,Full-Time,0
1003,34,8108728.0,12142727,441.0,Self-Employed,0
1004,62,24838011.0,17067196,372.0,Part-Time,1
1005,27,,41158112,466.0,Full-Time,0
1006,40,13387725.0,49610333,467.0,Full-Time,1
1007,58,20696350.0,27986990,558.0,Part-Time,0
1008,38,21633013.0,32950611,738.0,Self-Employed,1
1009,42,17019715.0,22636027,410.0,Unemployed,0
1010,30,9379515.0,25841553,830.0,Full-Time,1
1011,30,27856102.0,49607689,589.0,Self-Employed,0
1012,43,14318343.0,8636119,809.0,Part-Time,0
1013,55,24413656.0,25334211,474.0,Full-Time,1
1014,59,26266975.0,40221540,601.0,Full-Time,1
1015,43,28676986.0,7853507,484.0,Full-Time,0
1016,22,5570725.0,29370764,638.0,Self-Employed,0
1017,41,,31947160,809.0,Full-Time,0
1018,21,16490295.0,30790412,609.0,Full-Time,0
1019,43,26978203.0,21450961,806.0,Part-Time,0
1020,63,8324852.0,21105466,645.0,Full-Time,0
1021,49,25357725.0,23931543,380.0,Self-Employed,0
1022,57,14589058.0,9070081,673.0,Part-Time,1
1023,21,16530348.0,14538735,455.0,Unemployed,1
1024,40,4317621.0,21614866,731.0,Part-Time,0
1025,52,26186145.0,42471432,799.0,Full-Time,0
1026,31,23415183.0,38016347,446.0,Unemployed,0
1027,41,22145109.0,15603512,780.0,Part-Time,0
1028,63,12828959.0,46727974,734.0,Full-Time,0
1029,44,25543356.0,40905148,818.0,Part-Time,0
1030,46,8053127.0,17876169,368.0,Self-Employed,0
1031,61,20516790.0,48762496,485.0,Full-Time,0
1032,47,7071495.0,35948393,503.0,Self-Employed,1
1033,35,20102653.0,36339092,,Full-Time,1
1034,34,13205368.0,41323086,573.0,Self-Employed,0
1035,63,21868229.0,12061944,597.0,Unemployed,0
1036,22,15019231.0,31548036,350.0,Self-Employed,1
1037,56,6681890.0,31424936,799.0,Part-Time,0
1038,26,8991305.0,25653561,668.0,Full-Time,1
1039,40,3872834.0,16569471,656.0,Part-Time,1
1040,28,17431999.0,36922728,302.0,Self-Employed,1
1041,58,7637370.0,44611606,553.0,Full-Time,0
1042,37,9626379.0,40787846,774.0,Self-Employed,0
1043,23,12008304.0,15031671,805.0,Unemployed,1
1044,44,15460858.0,11134678,555.0,Unemployed,0
1045,33,8887774.0,46947371,449.0,Unemployed,0
1046,28,15501340.0,20911898,787.0,Self-Employed,0
1047,45,10352132.0,42531240,578.0,Self-Employed,0
1048,21,16950653.0,29407941,,Unemployed,1
